dyadid,ccode1,ccode2,dem1,dem2,distance,allies
20325,20,325,10,10,4185,1
20338,20,338,10,,4527,0
20339,20,339,10,-9,4509,0
20345,20,345,10,-7,4382,0
20350,20,350,10,-7,4817,1
20352,20,352,10,7,5334,0
20355,20,355,10,-7,4585,0
20360,20,360,10,-7,4611,0
20365,20,365,10,-7,4452,0
20375,20,375,10,10,3902,0
20380,20,380,10,10,3728,0
20385,20,385,10,10,3482,1
20390,20,390,10,10,3674,1
20395,20,395,10,10,2401,1
20411,20,411,10,,5772,0
20420,20,420,10,10,4076,0
20432,20,432,10,-7,4525,0
20433,20,433,10,-7,3976,0
20434,20,434,10,-7,5339,0
20435,20,435,10,-7,3882,0
20436,20,436,10,-7,4973,0
20437,20,437,10,-9,4941,0
20438,20,438,10,-9,4406,0
20439,20,439,10,-7,4852,0
20450,20,450,10,-6,4704,0
20451,20,451,10,2,4479,0
20452,20,452,10,-7,5248,0
20461,20,461,10,-7,5288,0
20471,20,471,10,-7,5900,0
20475,20,475,10,-7,5429,0
20481,20,481,10,-7,5970,0
20482,20,482,10,-9,6217,0
20483,20,483,10,-9,5666,0
20484,20,484,10,-7,6482,0
20490,20,490,10,-9,6485,0
20500,20,500,10,-6,7088,0
20501,20,501,10,0,7368,0
20510,20,510,10,-7,7763,0
20516,20,516,10,-7,7120,0
20517,20,517,10,-5,7082,0
20520,20,520,10,7,7584,0
20530,20,530,10,-9,6920,0
20551,20,551,10,0,7653,0
20552,20,552,10,4,7901,0
20553,20,553,10,-9,7852,0
20560,20,560,10,4,8882,0
20570,20,570,10,9,8246,0
20571,20,571,10,10,7966,0
20572,20,572,10,0,8290,0
20580,20,580,10,-2,8727,0
20590,20,590,10,9,9278,0
20600,20,600,10,-9,3633,0
20615,20,615,10,-9,3982,0
20616,20,616,10,-9,4299,0
20620,20,620,10,-7,4601,0
20625,20,625,10,7,6304,0
20630,20,630,10,-10,5943,0
20640,20,640,10,9,5076,1
20645,20,645,10,-7,5838,0
20651,20,651,10,-7,5509,0
20652,20,652,10,-7,5532,0
20660,20,660,10,2,5482,0
