respon,DH_appr,age,PID5,female,followbaseball
241,,58,5,"Female",1
242,,59,3,"Female",0
243,,54,4,"Female",0
244,,87,1,"Female",1
245,,37,5,"Female",0
246,,40,5,"Female",1
247,,42,1,"Female",0
248,1,34,5,"Female",1
249,,38,1,"Female",0
250,,75,5,"Female",1
251,1,30,3,"Male",1
252,,81,,"Male",0
253,,53,1,"Female",1
254,1,28,5,"Male",1
255,,47,5,"Female",0
256,0,33,5,"Male",1
257,1,74,1,"Female",1
258,0,68,,"Male",1
259,1,63,3,"Female",1
260,,53,5,"Female",0
261,,64,4,"Female",0
262,,30,1,"Female",1
263,,54,5,"Female",0
264,1,60,5,"Male",1
265,1,52,5,"Female",1
266,,80,5,"Female",0
267,,50,1,"Female",0
268,,32,1,"Female",0
269,1,40,1,"Female",1
270,0,34,3,"Male",1
271,,42,5,"Female",0
272,,41,5,"Male",0
273,,18,1,"Female",0
274,0,47,5,"Male",1
275,,48,4,"Female",0
276,0,22,,"Male",1
277,,64,4,"Female",0
278,0,30,1,"Male",1
279,,54,1,"Male",0
280,1,62,5,"Female",1
281,,83,1,"Female",0
282,1,34,5,"Female",1
283,0,68,1,"Male",1
284,,58,3,"Male",0
285,,38,1,"Male",0
286,,70,5,"Male",0
287,,37,5,"Female",0
288,1,20,1,"Male",1
289,,89,2,"Female",0
290,,46,5,"Male",0
291,,36,5,"Male",0
292,,28,4,"Female",0
293,,33,5,"Female",0
294,,41,5,"Female",1
295,,35,3,"Female",0
296,,37,3,"Male",1
297,,43,3,"Female",0
298,0,37,3,"Male",1
299,,42,,"Male",0
300,1,37,,"Male",1
301,1,38,1,"Male",1
302,1,45,4,"Male",1
303,,36,5,"Female",0
304,1,70,1,"Female",1
305,1,36,5,"Male",1
306,1,52,3,"Male",1
307,,45,4,"Male",0
308,,33,1,"Male",1
309,1,27,5,"Female",1
310,1,40,3,"Female",1
311,,78,4,"Female",1
312,1,22,1,"Female",1
313,,28,3,"Male",0
314,,38,1,"Female",0
315,1,36,2,"Male",1
316,1,54,5,"Female",1
317,1,36,2,"Male",1
318,,21,1,"Female",0
319,,30,2,"Male",0
320,,78,,"Female",0
321,,61,5,"Female",0
322,,32,2,"Male",0
323,1,47,2,"Male",1
324,0,25,5,"Female",1
325,,73,5,"Female",0
326,0,50,1,"Female",1
327,,54,5,"Female",0
328,1,35,3,"Male",1
329,,,,"Female",0
330,,36,5,"Female",0
331,,62,5,"Female",0
332,,26,4,"Female",0
333,,56,1,"Female",1
334,,40,1,"Female",1
335,0,45,5,"Male",1
336,,57,1,"Female",1
337,,36,4,"Male",0
