respon,DH_appr,age,PID5,female,followbaseball
1042,,43,4,"Male",0
1043,1,64,5,"Male",1
1044,1,53,5,"Female",1
1045,1,19,1,"Male",1
1046,,53,1,"Male",0
1047,1,69,5,"Male",1
1048,,38,2,"Female",0
1049,,37,5,"Female",0
1050,,42,1,"Male",0
1051,,56,1,"Male",0
